id,name,slug,author name,sku,price,Old_price,is_active,is_bestseller,is_featured,description,meta_keywords,meta_description,created_at,updated_at,image,thumbnail,image_caption
38,Philips 32PFL5578 32-inch Full HD LED Television,,Philips,10037,"29,990.00 ","34,990.00",Y,Y,Y,Futuristic digital entertainment in Philips HDTV     Full HD LCD display for better depth and clarity  Pixel precise HD for razor sharp images,TV,LED TV,,,,,10037_electronics.jpg
39,I Grasp K16 Full HD LED Television - 16 inches Black,,I Grasp,10038,"7,050.00",0,Y,Y,Y,"Body color: Black, Analog audio Input, Audio out, HDMI Audio in : HDMI x 2, On/Off Timer, Parental control,Remoate control,Headphone out, USB port, USB display.",TV,LED TV,,,,,10038_electronics.jpg
40,"Dell Venue 7 Tablet (WiFi, 16GB), Black",,Dell,10039,"8,968.00 ",0,Y,Y,Y,3MP primary camera and 0.3MP front facing camera 7-inch IPS multi-touch capacitive touchscreen with 1280 x 800 pixels resolution ,Tablet,Electronic Tablets,,,,,10039_electronics.jpg
41,"Apple iPad Mini (White-Silver, 16GB, WiFi)",,Apple,10040,"17,999.00 ","21,290.00",Y,Y,Y,"5MP primary camera with face detection, backside illumination, tap to control exposure for video or still images, geotagging and 1.2MP front facing camera",Electronic Tablet,Ipad apple,,,,,10040_electronics.jpg
42,"Xolo Play Tab 7 Tablet (WiFi), Black",,Xolo,10041,"8,489.00","9,790.00",Y,Y,Y,2MP front facing camera 7-inch LCD Capacitive touchscreen with 1280 x 800 pixels resolution and 16M color support,Tablet,Electronic Tablets,,,,,10041_electronics.jpg
43,"HCL ME Champ Tablet (WiFi, 3G via Dongle)",,HCL,10042,"4,780.00","7,499.00",Y,Y,Y,"Android 4.1 Jelly Bean operating system with 1GHz Cortex A9 processor, 1GB RAM and 4GB internal memory expandable up to 32GB",Tablet,Electronic Tablets,,,,,10042_electronics.jpg
44,"Google Nexus 5 D821 (32GB, White)",,Google,10043,"34,298.00 ",0,Y,Y,Y,4.95-inch IPS touchscreen with 1080 x 1920 pixels resolution 8MP primary camera with optical image stabilization and 1.3MP front facing camera,Mobile,Smart Phones,,,,,10043_electronics.jpg
45,Nokia Lumia 925 (Black),,Nokia,10044,"28,599.00",0,Y,Y,Y,"8.7MP pure view primary camera with Carl Zeiss Tessar lens, 4x digital zoom, dual LED flash, touch focus, landscape orientation, auto and manual white balance, face recognition, geotagging and 1.2MP front facing camera",Mobile,Handset Smart Phones,,,,,10044_electronics.jpg
46,"HTC One (Dual SIM, Silver)",,HTC,10045,"36,420.00",0,Y,Y,Y,"Primary camera with full HD video recording, optical image stabilization, dedicated HTC ImageChip 2, shutter shot, continuous shooting and 2.1MP front facing camera",Mobile,Handset Smart Phones,,,,,10045_electronics.jpg
47,Sony Xperia T2 Ultra (Black),,Sony,10046," 24,940.00 ","25,990.00",Y,Y,Y,"13MP primary camera with HD video recording, LED flash, auto focus, geotagging, 16x digital zoom, touch focus and 1.1MP front facing camera",Mobile,Handset Smart Phones,,,,,10046_electronics.jpg
48,Samsung Galaxy S5 (Charcoal Black),,Samsung,10047,"         42,354.00 ","49,899.00",Y,Y,Y,"16MP primary camera with phase detection, selective focus and 2MP front facing camera ",Mobile,Handset Smart Phones,,,,,10047_electronics.jpg
49,Intex Wireless Roaming Over-Ear Headphone (Black),,Intex,10048,497,699,Y,Y,Y,Wireless headphone  Bass speaker for great enjoyment Effective range over 8m,Ear Phone,Wireless Ear Phone,,,,,10048_electronics.jpg
50,Apple 2GB iPod Shuffle (Space Gray),,Apple,10049,"2,249.00","3,700.00",Y,Y,Y,"Sleek, anodized aluminum looks and feels solid and durable With up to 15 hours of battery life and 2 GB of storage, you can have hundreds of songs at your fingertips",Ipod,Music Player,,,,,10049_electronics.jpg
51,Philips MMS4040F 2.1 Multimedia Speaker,,Philips,10050,"3,190.00",0,Y,Y,Y,Multimedia speakers 2.1 configuration Remote control,Speakers,Audio Multimedia Speaker,,,,,10050_electronics.jpg
52,ION Party Starter Portable Bluetooth Speaker With Built-In Light Show,,ION Audio,10051,0,49.99,Y,Y,Y,"Ultra-compact speaker delivers BIG wireless sound,Projects pulsating multi-colored party lights onto walls and ceilings,Works with iPad, iPhone, iPod, Android devices, and more.",speaker,Bluetooh speaker,,,,,10051_musicalinstruments.jpg
53,Blue Microphones Snowball USB Microphone (Electric Blue),,Blue Microphones,10052,0,137.83,Y,Y,Y,"USB output enables direct integration with a desktop or laptop computer, allowing CD-quality recording,Snowball ships with desktop stand and USB cable",microphone,USB microphone,,,,,10052_musicalinstruments.jpg
54,Audio-Technica ATH-M50x Professional Headphones,,Audio-technica,10053,169,239,Y,Y,Y,"Critically acclaimed sonic performance praised by top audio engineers and pro audio reviewers,90° swiveling earcups for easy, one-ear monitoring, professional-grade earpad and headband material delivers more durability and comfort. Detachable cable",headphones,Professional Headphones,,,,,10053_musicalinstruments.jpg
55,Epiphone Guitar Pack Series PPEG-EGL1EBCH1 Electric Guitar Pack - Ebony,,Epiphone,10054,199,347,Y,Y,Y,"Epiphone's Les Paul Player Pack has everything you need to start playing guitar right away,It includes a genuine Les Paul Special-II LTD guitar featuring two classic hum bucker pickups and a 10-watt Electra guitar amp with a 10ft guitar cable.",guitar pack ,Electric guitar,,,,,10054_musicalinstruments.jpg
56,Sawtooth ST-ES-BKB-KIT-3 Black Electric Guitar ,,Sawtooth,10055,159.99,477.96,Y,Y,Y,"Basswood Body with Black Finish and 3-Ply Black Pickguard,Maple c-shape neck with Rosewood fingerboard, 21 medium jumbo frets, and Dot position inlays,25.5"" scale length; 42 mm nut width",guitar pack ,Electric guitar,,,,,10055_musicalinstruments.jpg
57,Yamaha DD65 Electronic Drum Pad,,Yamaha,10056,,409.95,Y,Y,Y,"8 Touch-sensitive drum pads allow expressive playing,AUX in jack for connecting and playing along with an MP3 player,254 GM compatible Voices assignable to any pad",drum pad, Electronic Drum Pad Premium ,,,,,10056_musicalinstruments.jpg
58,Yamaha DGX650B Digital Piano,,Yamaha,10057,799.99,1299,Y,Y,Y,"PureCF-sampled piano: Sampled from Yamaha's acclaimed CFIIIS concert grand, no other digital piano brand at this price delivers recordings from such a high-end instrument.",piano,Digital piano,,,,,10057_musicalinstruments.jpg
59,Casio SA-76 44 Key Mini Keyboard,,Casio,10058,49.95,69.95,Y,Y,Y,"44 mini keys,100 tones, 50 rhythms and 10 integrated songs provide variety,LSI sound source and 8-note polyphony ensure good sound quality",mini keyboard,Keyboard,,,,,10058_musicalinstruments.jpg
60,Apogee Duet Audio Interface for iPad & Mac,,Apogee,10059,0,649,Y,Y,Y,"First professional stereo audio interface for iPad,USB 2.0 audio with 24-bit/192kHz A/D and D/A conversion,Direct digital connection to iPod touch, iPhone, iPad", Audio Interface,Audio Interface for iPad & Mac,,,,,10059_musicalinstruments.jpg
61,Apogee MiC 96k,,Apogee,10060,0,329,Y,Y,Y,"Studio quality cardioid condenser microphone,Designed for vocal and acoustic instrument recording. Also great for recording interviews, podcasts, voice overs, and audio for DSLR video.",Microphone ,"Professional Quality Microphone for iPad, iPhone, and Mac",,,,,10060_musicalinstruments.jpg
62,360-BK - BLACK/Gold Alto Saxophone,,Lazarro,10061,274.99,599,Y,Y,Y,"Saxophone Includes:Mouthpiece,Cap,Ligature,Neck Strap,Free Gifts Include:11 Reeds and Music Pocketbook By William Bay,Lightweight Hard Plush Lined FABRIC Pro Case. Sax CASE Has Backpack/Side Straps and Pocket",Saxophone,Alto Saxophone Lazarro,,,,,10061_musicalinstruments.jpg
63,Mendini MTT-N Nickel Plated Bb Trumpet,,mendini,10062,125,339.99,Y,Y,Y,"Nickel plated Bb trumpet with 7C mouthpiece,0.46 inch bore & 5 inch bell, 1st valve slide thumb saddle, 3rd valve slide with adjustable throw ring,Phosphorus copper used on lead mouth pipe (found on expensive trumpets), smooth action valves, & comfortable",Trumpet,Nickel Plated Bb Trumpet,,,,,10062_musicalinstruments.jpg
64,Alesis DM Lite Kit 5-Piece Electronic Drum Set,,Alesis,10063,288.99,339,Y,Y,Y,"Complete 5-piece, 3-cymbal electronic drum kit,LED illuminated drum and cymbal pads enhance built-in learning features,DM Lite Drum Module with built-in drum coach with play-along patterns and 30 songs",Drum Set,Electronic Drum Set,,,,,10063_musicalinstruments.jpg
65,GP Percussion GP50BK Complete Junior Drum Set ,,Percussion,10064,0,239.99,Y,Y,Y,",bass drum pedal,bass drum pedal,drum sticks & drum key",Junior Drum Set ,GP50BK Complete Junior Drum Set ,,,,,10064_musicalinstruments.jpg
66,Mendini 4/4 MV-Black Solid Wood Violin,,mendini,10065,71.5,199.99,Y,Y,Y,"Size 4/4 (Full Size) metallic black varnish violin,Includes: lightweight hard case, a Brazilwood bow with unbleached genuine Mongolian horsehair, rosin, adjustable shoulder rest, two bridges, and an extra set of strings", Violin ,Black Solid Wood Violin,,,,,10065_musicalinstruments.jpg
67,KRK RP5G3-NA Rokit 5 Generation 3 Powered Studio Monitor,,KRK,10066,299,0,Y,Y,Y,This Bundle contains 2 items: Pair of KRK RP5G3-NA Rokit 5 Generation 3 Powered Studio Monitor,Studio monitor,Studio Monitor - Pair,,,,,10066_musicalinstruments.jpg
68,Olympus ME-12 Noise Canceling Microphone,,Olympus,10067,9.95,14.99,Y,Y,Y,"Increases transcription accuracy by reducing ambient noise,Usable with all digital voice recorders using the DSS file format", Microphone,Noise Canceling Microphone,,,,,10067_musicalinstruments.jpg
69,Numark HF125 DJ Headphones,,Numark,10068,10.33,29,Y,Y,Y,"Flexible 7-position independently adjustable dual ear cups,6' tangle-resistant cord with 1/4"" connector",Headphones,DJ Headphones,,,,,10068_musicalinstruments.jpg
70,Shure SM57-LC Cardioid Dynamic Microphone,,Shure,10069,99,146,Y,Y,Y,"Contoured frequency response is clean, instrumental reproduction and rich vocal pickup,Professional-quality reproduction for drum, precussion, and instrument amplifier miking",Microphone,Cardioid Dynamic Microphone,,,,,10069_musicalinstruments.jpg
71,Silvertone LB11 Bass Guitar,,Silvertone,10070,176.99,479.99,Y,Y,Y,"Bass guitar package with everything you need to control the rhytm,Includes BAXs bass amp, digital tuner, instructional DVD, strings, strap, picks, cable, gig bag",Guitar,Bass Guitar and Amp Package,,,,,10070_musicalinstruments.jpg
72,Casio WK-225 76-Key Touch Sensitive Keyboard ,,Casio,10071,199.95,323.99,Y,Y,Y,"76 note, touch response, piano style keyboard,600 Built-in tones including stereo pianos,180 Rhythm and Accompaniment patterns",Keyboard,Touch Sensitive Keyboard ,,,,,10071_musicalinstruments.jpg
73,ION Discover DJ USB DJ controller for Mac and PC,,ION Audio,10072,79.99,129.99,Y,Y,Y,"Everything you need to DJ with the music on your computer,Touch-sensitive platters with volume, three-band EQ and pitch controls allow you to manipulate music like the pro's", DJ USB DJ controller,DJ USB DJ controller for Mac and PC,,,,,10072_musicalinstruments.jpg
74,"Behringer EUROLIVE VP1800S 1600W 18"" Subwoofer",,Behringer,10073,229.99,299.99,Y,Y,Y,Professional 1600-Watt 18'' subwoofer for PA applications (400 Watts Continuous / 1600 Watts Peak Power),Subwoofer,"18"" Subwoofer",,,,,10073_musicalinstruments.jpg
75,Pyle PDMICR42R Classic Retro Vintage Style Dynamic Vocal Microphone,,Pyle,10074,32.86,75.99,Y,Y,Y,"Studio and stage-tested design for quality and performance,Ideal choice for professional applications as well as garage bands and at home podcasts,Dynamic Moving Coil Element - Cardioid Polar Pattern - Self Tension Swivel Mount - Frequency Response: 30Hz-",Vocal Microphone, Retro Vintage Style Dynamic Vocal Microphone,,,,,10074_musicalinstruments.jpg
76,Singing Machine SMM-205 Dynamic Karaoke Microphone ,,Singing Machine,10075,10.09,14.99,Y,Y,Y,"Uni-directional Dynamic Microphone,Wide Frequency Response & High Sensitivity,Karaoke Accessory",Microphone,Dynamic Karaoke Microphone,,,,,10075_musicalinstruments.jpg
77,Warner Bros. Tweety Soft Toy,,soft toy,10076, 485.00 , 899.00,Y,Y,Y,Its soft Easy to play Attractive A perfect gift for your loved ones,toys,kids toys,,,,,10076_toys.jpg
78,Disney MBE-LWTP0007 Lazy Pooh 22-inch,,Disney soft toy,10077,999,0,Y,Y,Y,Its soft and attractive High quality material A perfect gift,toys,kids toys,,,,,10077_toys.jpg
79,"Simba Animated Plush Battery Operated Sitting Talking Tom, Multi Color (9-inch)",,Simba toys,10078,"2,399.00 ",0,Y,Y,Y,Tom will repeat what you say in his signature funny voice and move its mouth,toys,Kids toys,,,,,10078_toys.jpg
80,"Shaun Sheep Valentine with Heart, Multi Color (25cm)",,Shaun sheep,10079,799,0,Y,Y,Y,Its soft Easy to play Attractive A perfect gift for your loved ones,toys,Kids toys,,,,,10079_toys.jpg
81,Barbie Kelly in India,,Barbie,10080, 263.00 , 299.00,Y,Y,Y,Its soft and attractive High quality material A perfect gift,toys,kids toys,,,,,10080_toys.jpg
82,Barbie in the Pink Shoes Transforming Ballerina Kristyn Doll,,Barbie,10081,411.00 ,839,Y,Y,Y,Its soft and attractive High quality material A perfect gift,toys,kids toys,,,,,10081_toys.jpg
83,"Newray 1:12 Kawasaki KFX450R (2012), Green",,Newray,10082, 649.00,0,Y,Y,Y,Highly detailed design with free wheel 1:12 scale- die cast bikes look alike of original to the minutest detail,toys,kids toys,,,,,10082_toys.jpg
84,"Funskool MRF Racing Jeep, Multi Color",,Funskool,10083,179.00 ,0,Y,Y,Y,Funskool MRF Racing Jeep is a toy car and truck for 3 to 5 year old kids Free wheel vehicle,toys,kids toys,,,,,10083_toys.jpg
85,Centy Rescue Helicopter - (Color may vary),,Centry,10084,144,,Y,Y,Y,Scale model Pull back toy Door openable,toys,kids toys,,,,,10084_toys.jpg
86,Disney Planes Skipper Riley Diecast Aircraft,,Disney soft toy,10085,"2,042.00",0,Y,Y,Y,"Based on characters from the new hit animated Disney film, Planes",toys,kids toys,,,,,10085_toys.jpg
87,SIKU 0872 Helicopter Gunship,,Siku,10086,"1,393.00",0,Y,Y,Y,For generations SIKU has fascinated children and adults alike with its high quality die-cast vehicles,toys,kids toys,,,,,10086_toys.jpg
88,Funskool Digger the Dog,,Funskool,10087, 359.00 , 399.00,Y,Y,Y,Digger the dog shall become Your kids first companion Lots of fun actions for little ones as the dog is pulled along,toys,kids toys,,,,,10087_toys.jpg
89,Shengshou 3x3x3 Puzzle Cube Black,,Shengshou,10088,"1,540.00 ",0,Y,Y,Y,Smooth turning and cornering for speed cubing Solve it by making each side one solid color,Games and toys,Strategic games,,,,,10088_toys.jpg
90,"Funskool Monopoly India Edition, Multi Color",,Funskool,10089,449.00 , 499.00,Y,Y,Y,Classic world famous property trading board game Move around the board buying and selling properties,Games and toys,Board Games,,,,,10089_toys.jpg
91,Mattel Scrabble Original,,Mattel,10090,699.00 ,0,Y,Y,Y,Scrabble is the classic word game Make the best word you can using any of your 7 letter tiles drawn at random,Games and toys,Board Games,,,,,10090_toys.jpg
92,GEEK GOODIES London's Tower Bridge 3D Puzzle,,GEEK GOODIES,10091,579,0,Y,Y,Y,Durable packing fit for long-distance transport. Improves Creativity and logical ability.,Games and toys,3D Games,,,,,10091_toys.jpg
93,"Annie 8 - in- 1 3D Puzzle, Multi Color",,Annie,10092, 366.00,0,Y,Y,Y,Easy to assemble No External tools are required  Highly educational,Games and toys,3D Games,,,,,10092_toys.jpg
94,Frank Wild Animals,,Frank,10093,44, 60.00,Y,Y,Y,A range of educational toys introducing basic concepts to the beginners,Toys,kids toys,,,,,10093_toys.jpg
95,Quinxing Laptop with 20 activities,,qunxing,10094,540,0,Y,Y,Y,Original Qunxing Kids Laptop,Toys,Educational toys,,,,,10094_toys.jpg
96,Simba Squap Catch Ball Game,,Simba toys,10095,685,0,Y,Y,Y,"
Squap Resembles the Catch Ball Game
2 Squaps and 4 Balls
Includes Behind the Back Shot, Over The Shoulder Shot, Turn Around and Jump Shot
",toys,Sports toys,,,,,10095_toyssimba.jpg
97,Intex baby tent house,,Intex,10096,"1,199.00 ",0,Y,Y,Y,This Full Size Cottage Tent House Is For Indoor As Well As Outdoor Play. Children Can Actually Enter This House & Stay Or Play In It,toys,Sports toys,,,,,10096_toys.jpg
98,Melissa & Doug Happy Giddy Tunnel,,Melissa & Doug,10097,"2,699.00",0,Y,Y,Y,Active kids will enjoy crawling through a rainbow of color in this bright tunnel. ,toys,Sports toys,,,,,10097_toys.jpg
99,"Skillofun Rope Ladder, Multi Color",,Skillofun,10098,815,0,Y,Y,Y,For climbing fun-indoors and outdoors,toys,Sports toys,,,,,10098_toys.jpg
100,"Funskool Jenga Junior, Multi Color",,Funskool,10099,   179.00 ,199,Y,Y,Y,"This is one game that children and adults can play together, has no learning curve and never gets old or boring",toys,Sports toys,,,,,10099_toys.jpg
101,Angry Birds- On Thin Ice,,Mattel,10100,539,999,Y,Y,Y,It is an exciting skill and action game that is designed for two to four players.,toys,Sports toys,,,,,10100_toys.jpg
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
